Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring WIF (6 HOURS MAX HOLD)...
  Entry: $0.22960000
  SL: $0.22592640
  TP1: $0.23786560
  TP2: $0.24199840
  Max Hold: 6 HOURS
8:50:16 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
9:17:31 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:36 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:41 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:46 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:52 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:57 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:18:02 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:18:07 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:18:12 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:18:17 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:22 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:27 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:32 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:38 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:43 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:48 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:53 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:18:58 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:19:03 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:19:09 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:19:14 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 31m left
9:19:19 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 30m left
